tissue_type,subtype,gene,pct_in,pct_out,log2fc,auc,present_in_census,composite
breast,Normal ductal epithelial cells,CD24,0.521,0.147,1.853519320487976,0.7053000330924988,True,0.42439197044372556
breast,Normal ductal epithelial cells,TMEM45B,0.203625,0.0122,4.501563549041748,0.5959970355033875,True,0.4150826462841034
breast,Normal ductal epithelial cells,MUC1,0.421125,0.081,2.097180128097534,0.6706801652908325,True,0.4142871569633484
breast,Normal ductal epithelial cells,PIP,0.219125,0.072,3.0956430435180664,0.575274646282196,True,0.3896447170257568
breast,Normal ductal epithelial cells,XBP1,0.840375,0.542,1.406437635421753,0.716218113899231,True,0.37329327254295347
breast,Normal ductal epithelial cells,CA12,0.3445,0.0652,2.055954933166504,0.6394374966621399,True,0.3730054966068268
breast,Normal ductal epithelial cells,ST14,0.3985,0.0606,1.691243052482605,0.6691766381263733,True,0.372045651512146
breast,Normal ductal epithelial cells,SLC39A6,0.514875,0.2074,1.5866682529449463,0.6660698652267456,True,0.353017741317749
breast,Normal ductal epithelial cells,FOXA1,0.233,0.0462,2.128887414932251,0.5932367444038391,True,0.32483814893722535
breast,Normal ductal epithelial cells,OVOL2,0.13525,0.0258,2.551476001739502,0.5548306107521057,True,0.32090209473609926
breast,Normal ductal epithelial cells,PRLR,0.247125,0.054,1.9465936422348022,0.595954179763794,True,0.31004774379730227
breast,Normal ductal epithelial cells,BAMBI,0.2305,0.0674,2.108660936355591,0.5821713805198669,True,0.30922322189331053
breast,Normal ductal epithelial cells,AGR2,0.2545,0.074,1.9156161546707153,0.5920941829681396,True,0.30133697376251223
colorectal,Stem-like / TA-like tumor cells,RNF43,0.696125,0.0964,4.7712531089782715,0.8211551308631897,True,0.6768691046905517
colorectal,Stem-like / TA-like tumor cells,SLC12A2,0.71825,0.1986,3.2338013648986816,0.7935271859169006,True,0.6387517487335206
colorectal,Stem-like / TA-like tumor cells,ASCL2,0.605,0.062,5.1493682861328125,0.7816873788833618,True,0.6339499150276184
colorectal,Stem-like / TA-like tumor cells,AXIN2,0.5005,0.0412,5.154324531555176,0.73546302318573,True,0.580230418548584
colorectal,Stem-like / TA-like tumor cells,EPHB2,0.509375,0.0954,3.3778624534606934,0.7171331644058228,True,0.5565015434455871
colorectal,Stem-like / TA-like tumor cells,MYC,0.561875,0.164,3.2745413780212402,0.7189967036247253,True,0.5547723748207092
colorectal,Stem-like / TA-like tumor cells,CCND1,0.561125,0.1848,2.7328755855560303,0.7081781625747681,True,0.515095094575882
colorectal,Stem-like / TA-like tumor cells,TSPAN8,0.76025,0.3368,1.8467068672180176,0.7438282370567322,True,0.46442326444625853
colorectal,Stem-like / TA-like tumor cells,LGR5,0.23025,0.0262,3.6012380123138428,0.6024630069732666,True,0.4227804055786133
colorectal,Stem-like / TA-like tumor cells,CD44,0.6355,0.3062,1.476412057876587,0.7019599676132202,True,0.3750691679573059
colorectal,Stem-like / TA-like tumor cells,MCM4,0.267625,0.0836,2.4939558506011963,0.5948227047920227,True,0.36205875485420225
colorectal,Stem-like / TA-like tumor cells,CENPF,0.234,0.074,2.636214017868042,0.5818594694137573,True,0.36110901308059695
